Alpha Power (Lv. 1)
Alpha Power (Lv. 2)
Alpha Power (Lv. 3)
Sparkling Power: Normal (Lv. 1)
Sparkling Power: Normal (Lv. 2)
Sparkling Power: Normal (Lv. 3)
Sparkling Power: Fire (Lv. 1)
Sparkling Power: Fire (Lv. 2)
Sparkling Power: Fire (Lv. 3)
Sparkling Power: Water (Lv. 1)
Sparkling Power: Water (Lv. 2)
Sparkling Power: Water (Lv. 3)
Sparkling Power: Electric (Lv. 1)
Sparkling Power: Electric (Lv. 2)
Sparkling Power: Electric (Lv. 3)
Sparkling Power: Grass (Lv. 1)
Sparkling Power: Grass (Lv. 2)
Sparkling Power: Grass (Lv. 3)
Sparkling Power: Ice (Lv. 1)
Sparkling Power: Ice (Lv. 2)
Sparkling Power: Ice (Lv. 3)
Sparkling Power: Fighting (Lv. 1)
Sparkling Power: Fighting (Lv. 2)
Sparkling Power: Fighting (Lv. 3)
Sparkling Power: Poison (Lv. 1)
Sparkling Power: Poison (Lv. 2)
Sparkling Power: Poison (Lv. 3)
Sparkling Power: Ground (Lv. 1)
Sparkling Power: Ground (Lv. 2)
Sparkling Power: Ground (Lv. 3)
Sparkling Power: Flying (Lv. 1)
Sparkling Power: Flying (Lv. 2)
Sparkling Power: Flying (Lv. 3)
Sparkling Power: Psychic (Lv. 1)
Sparkling Power: Psychic (Lv. 2)
Sparkling Power: Psychic (Lv. 3)
Sparkling Power: Bug (Lv. 1)
Sparkling Power: Bug (Lv. 2)
Sparkling Power: Bug (Lv. 3)
Sparkling Power: Rock (Lv. 1)
Sparkling Power: Rock (Lv. 2)
Sparkling Power: Rock (Lv. 3)
Sparkling Power: Ghost (Lv. 1)
Sparkling Power: Ghost (Lv. 2)
Sparkling Power: Ghost (Lv. 3)
Sparkling Power: Dragon (Lv. 1)
Sparkling Power: Dragon (Lv. 2)
Sparkling Power: Dragon (Lv. 3)
Sparkling Power: Dark (Lv. 1)
Sparkling Power: Dark (Lv. 2)
Sparkling Power: Dark (Lv. 3)
Sparkling Power: Steel (Lv. 1)
Sparkling Power: Steel (Lv. 2)
Sparkling Power: Steel (Lv. 3)
Sparkling Power: Fairy (Lv. 1)
Sparkling Power: Fairy (Lv. 2)
Sparkling Power: Fairy (Lv. 3)
Sparkling Power: All Types (Lv. 1)
Sparkling Power: All Types (Lv. 2)
Sparkling Power: All Types (Lv. 3)
Attack Power (Lv. 1)
Attack Power (Lv. 2)
Attack Power (Lv. 3)
Sp. Atk Power (Lv. 1)
Sp. Atk Power (Lv. 2)
Sp. Atk Power (Lv. 3)
Move Power: Normal (Lv. 1)
Move Power: Normal (Lv. 2)
Move Power: Normal (Lv. 3)
Move Power: Fire (Lv. 1)
Move Power: Fire (Lv. 2)
Move Power: Fire (Lv. 3)
Move Power: Water (Lv. 1)
Move Power: Water (Lv. 2)
Move Power: Water (Lv. 3)
