Poder Alfa Nv. 1
Poder Alfa Nv. 2
Poder Alfa Nv. 3
Poder Brillante Normal Nv. 1
Poder Brillante Normal Nv. 2
Poder Brillante Normal Nv. 3
Poder Brillante Fuego Nv. 1
Poder Brillante Fuego Nv. 2
Poder Brillante Fuego Nv. 3
Poder Brillante Agua Nv. 1
Poder Brillante Agua Nv. 2
Poder Brillante Agua Nv. 3
Poder Brillante Eléctrico Nv. 1
Poder Brillante Eléctrico Nv. 2
Poder Brillante Eléctrico Nv. 3
Poder Brillante Planta Nv. 1
Poder Brillante Planta Nv. 2
Poder Brillante Planta Nv. 3
Poder Brillante Hielo Nv. 1
Poder Brillante Hielo Nv. 2
Poder Brillante Hielo Nv. 3
Poder Brillante Pelea Nv. 1
Poder Brillante Pelea Nv. 2
Poder Brillante Pelea Nv. 3
Poder Brillante Veneno Nv. 1
Poder Brillante Veneno Nv. 2
Poder Brillante Veneno Nv. 3
Poder Brillante Tierra Nv. 1
Poder Brillante Tierra Nv. 2
Poder Brillante Tierra Nv. 3
Poder Brillante Volador Nv. 1
Poder Brillante Volador Nv. 2
Poder Brillante Volador Nv. 3
Poder Brillante Psíquico Nv. 1
Poder Brillante Psíquico Nv. 2
Poder Brillante Psíquico Nv. 3
Poder Brillante Insecto Nv. 1
Poder Brillante Insecto Nv. 2
Poder Brillante Insecto Nv. 3
Poder Brillante Roca Nv. 1
Poder Brillante Roca Nv. 2
Poder Brillante Roca Nv. 3
Poder Brillante Fantasma Nv. 1
Poder Brillante Fantasma Nv. 2
Poder Brillante Fantasma Nv. 3
Poder Brillante Dragón Nv. 1
Poder Brillante Dragón Nv. 2
Poder Brillante Dragón Nv. 3
Poder Brillante Siniestro Nv. 1
Poder Brillante Siniestro Nv. 2
Poder Brillante Siniestro Nv. 3
Poder Brillante Acero Nv. 1
Poder Brillante Acero Nv. 2
Poder Brillante Acero Nv. 3
Poder Brillante Hada Nv. 1
Poder Brillante Hada Nv. 2
Poder Brillante Hada Nv. 3
Poder Brillante de todos los tipos Nv. 1
Poder Brillante de todos los tipos Nv. 2
Poder Brillante de todos los tipos Nv. 3
Poder Ataque Nv. 1
Poder Ataque Nv. 2
Poder Ataque Nv. 3
Poder Ataque Especial Nv. 1
Poder Ataque Especial Nv. 2
Poder Ataque Especial Nv. 3
Poder Movimiento Normal Nv. 1
Poder Movimiento Normal Nv. 2
Poder Movimiento Normal Nv. 3
Poder Movimiento Fuego Nv. 1
Poder Movimiento Fuego Nv. 2
Poder Movimiento Fuego Nv. 3
Poder Movimiento Agua Nv. 1
Poder Movimiento Agua Nv. 2
Poder Movimiento Agua Nv. 3
Poder Movimiento Eléctrico Nv. 1
Poder Movimiento Eléctrico Nv. 2
Poder Movimiento Eléctrico Nv. 3
Poder Movimiento Planta Nv. 1
Poder Movimiento Planta Nv. 2
Poder Movimiento Planta Nv. 3
Poder Movimiento Hielo Nv. 1
Poder Movimiento Hielo Nv. 2
Poder Movimiento Hielo Nv. 3
Poder Movimiento Pelea Nv. 1
Poder Movimiento Pelea Nv. 2
Poder Movimiento Pelea Nv. 3
Poder Movimiento Veneno Nv. 1
Poder Movimiento Veneno Nv. 2
Poder Movimiento Veneno Nv. 3
Poder Movimiento Tierra Nv. 1
Poder Movimiento Tierra Nv. 2
Poder Movimiento Tierra Nv. 3
Poder Movimiento Volador Nv. 1
Poder Movimiento Volador Nv. 2
Poder Movimiento Volador Nv. 3
Poder Movimiento Psíquico Nv. 1
Poder Movimiento Psíquico Nv. 2
Poder Movimiento Psíquico Nv. 3
Poder Movimiento Insecto Nv. 1
Poder Movimiento Insecto Nv. 2
Poder Movimiento Insecto Nv. 3
Poder Movimiento Roca Nv. 1
Poder Movimiento Roca Nv. 2
Poder Movimiento Roca Nv. 3
Poder Movimiento Fantasma Nv. 1
Poder Movimiento Fantasma Nv. 2
Poder Movimiento Fantasma Nv. 3
Poder Movimiento Dragón Nv. 1
Poder Movimiento Dragón Nv. 2
Poder Movimiento Dragón Nv. 3
Poder Movimiento Siniestro Nv. 1
Poder Movimiento Siniestro Nv. 2
Poder Movimiento Siniestro Nv. 3
Poder Movimiento Acero Nv. 1
Poder Movimiento Acero Nv. 2
Poder Movimiento Acero Nv. 3
Poder Movimiento Hada Nv. 1
Poder Movimiento Hada Nv. 2
Poder Movimiento Hada Nv. 3
Poder Velocidad Nv. 1
Poder Velocidad Nv. 2
Poder Velocidad Nv. 3
Poder Gran Botín Nv. 1
Poder Gran Botín Nv. 2
Poder Gran Botín Nv. 3
Poder Objeto Bayas Nv. 1
Poder Objeto Bayas Nv. 2
Poder Objeto Bayas Nv. 3
Poder Objeto Caramelos Nv. 1
Poder Objeto Caramelos Nv. 2
Poder Objeto Caramelos Nv. 3
Poder Objeto Tesoros Nv. 1
Poder Objeto Tesoros Nv. 2
Poder Objeto Tesoros Nv. 3
Poder Objeto Pokébolas Nv. 1
Poder Objeto Pokébolas Nv. 2
Poder Objeto Pokébolas Nv. 3
Poder Objeto Especiales Nv. 1
Poder Objeto Especiales Nv. 2
Poder Objeto Especiales Nv. 3
Poder Objeto Monedas Nv. 1
Poder Objeto Monedas Nv. 2
Poder Objeto Monedas Nv. 3
Poder Carga Megapoder Nv. 1
Poder Carga Megapoder Nv. 2
Poder Carga Megapoder Nv. 3
Poder Duración Megapoder Nv. 1
Poder Duración Megapoder Nv. 2
Poder Duración Megapoder Nv. 3
Poder Defensa Nv. 1
Poder Defensa Nv. 2
Poder Defensa Nv. 3
Poder Defensa Especial Nv. 1
Poder Defensa Especial Nv. 2
Poder Defensa Especial Nv. 3
Poder Resistencia Normal Nv. 1
Poder Resistencia Normal Nv. 2
Poder Resistencia Normal Nv. 3
Poder Resistencia Fuego Nv. 1
