RibbonChampionKalos	カロス チャンプ
RibbonChampionG3Hoenn	ホウエン チャンプ (RSE)
RibbonChampionSinnoh	シンオウ チャンプ
RibbonBestFriends	なかよし
RibbonTraining	しゅぎょう
RibbonBattlerSkillful	グレートバトル
RibbonBattlerExpert	マスターバトル
RibbonEffort	がんば
RibbonAlert	しゃっき
RibbonShock	どっき
RibbonDowncast	しょんぼ
RibbonCareless	うっか
RibbonRelax	すっき
RibbonSnooze	ぐっす
RibbonSmile	にっこ
RibbonGorgeous	ゴージャス
RibbonRoyal	ロイヤル
RibbonGorgeousRoyal	ゴージャスロイヤル
RibbonArtist	ブロマイド
RibbonFootprint	あしあと
RibbonRecord	レコード
RibbonLegend	レジェンド
RibbonCountry	カントリー
RibbonNational	ナショナル
RibbonEarth	アース
RibbonWorld	ワールド
RibbonClassic	クラシック
RibbonPremier	プレミア
RibbonEvent	イベント
RibbonBirthday	バースデー
RibbonSpecial	スペシャル
RibbonSouvenir	メモリアル
RibbonWishing	ウィッシュ
RibbonChampionBattle	バトルチャンプ
RibbonChampionRegional	エリアチャンプ
RibbonChampionNational	ナショナルチャンプ
RibbonChampionWorld	ワールドチャンプ
RibbonCountMemoryContest	おもいでコンテスト
RibbonCountMemoryBattle	おもいでバトル
RibbonChampionG6Hoenn	ホウエン　チャンプ (ORAS)
RibbonContestStar	コンテストスター
RibbonMasterCoolness	かっこよさマスター
RibbonMasterBeauty	うつくしさマスター
RibbonMasterCuteness	かわいさマスター
RibbonMasterCleverness	かしこさマスター
RibbonMasterToughness	たくましさマスター
RibbonG3Cool	Cool (G3)
RibbonG3CoolSuper	Cool Super
RibbonG3CoolHyper	Cool Hyper
RibbonG3CoolMaster	Cool Master
RibbonG3Beauty	Beauty (G3)
RibbonG3BeautySuper	Beauty Super
RibbonG3BeautyHyper	Beauty Hyper
RibbonG3BeautyMaster	Beauty Master
RibbonG3Cute	Cute (G3)
RibbonG3CuteSuper	Cute Super
RibbonG3CuteHyper	Cute Hyper
RibbonG3CuteMaster	Cute Master
RibbonG3Smart	Smart (G3)
RibbonG3SmartSuper	Smart Super
RibbonG3SmartHyper	Smart Hyper
RibbonG3SmartMaster	Smart Master
RibbonG3Tough	Tough (G3)
RibbonG3ToughSuper	Tough Super
RibbonG3ToughHyper	Tough Hyper
RibbonG3ToughMaster	Tough Master
RibbonG4Cool	Cool (G4)
RibbonG4CoolGreat	Cool Great
RibbonG4CoolUltra	Cool Ultra
RibbonG4CoolMaster	Cool Master
RibbonG4Beauty	Beauty (G4)
RibbonG4BeautyGreat	Beauty Great
RibbonG4BeautyUltra	Beauty Ultra
RibbonG4BeautyMaster	Beauty Master
RibbonG4Cute	Cute (G4)
RibbonG4CuteGreat	Cute Great
RibbonG4CuteUltra	Cute Ultra
RibbonG4CuteMaster	Cute Master
RibbonG4Smart	Smart (G4)
RibbonG4SmartGreat	Smart Great
RibbonG4SmartUltra	Smart Ultra
RibbonG4SmartMaster	Smart Master
RibbonG4Tough	Tough (G4)
RibbonG4ToughGreat	Tough Great
RibbonG4ToughUltra	Tough Ultra
RibbonG4ToughMaster	Tough Master
RibbonWinning	Winning
RibbonVictory	Victory
RibbonAbility	Ability
RibbonAbilityGreat	Great Ability
RibbonAbilityDouble	Double Ability
RibbonAbilityMulti	Multi Ability
RibbonAbilityPair	Pair Ability
RibbonAbilityWorld	World Ability
RibbonCountG3Cool	Cool
RibbonCountG3Beauty	Beauty
RibbonCountG3Cute	Cute
RibbonCountG3Smart	Smart
RibbonCountG3Tough	Tough
RibbonChampionAlola	アローラ　チャンプ
RibbonBattleRoyale	ロイヤルマスター
RibbonBattleTreeGreat	グレートツリー
RibbonBattleTreeMaster	マスターツリー
