RibbonChampionKalos	Campeón de Kalos
RibbonChampionG3	Campeón (Gen3)
RibbonChampionSinnoh	Campeón de Sinnoh
RibbonBestFriends	Amistad
RibbonTraining	Ejercicio
RibbonBattlerSkillful	Figura del Combate
RibbonBattlerExpert	As del Combate
RibbonEffort	Esfuerzo
RibbonAlert	Alerta
RibbonShock	Impacto
RibbonDowncast	Abatimiento
RibbonCareless	Descuido
RibbonRelax	Relax
RibbonSnooze	Cabezada
RibbonSmile	Sonrisa
RibbonGorgeous	Maravilla
RibbonRoyal	Realeza
RibbonGorgeousRoyal	Realeza Maravilla
RibbonArtist	Artista
RibbonFootprint	Huella
RibbonRecord	Récord
RibbonLegend	Leyenda
RibbonCountry	Campo
RibbonNational	Nacional
RibbonEarth	Planeta
RibbonWorld	Mundo
RibbonClassic	Clásica
RibbonPremier	Principal
RibbonEvent	Evento
RibbonBirthday	Cumpleaños
RibbonSpecial	Especial
RibbonSouvenir	Recuerdo
RibbonWishing	Deseo
RibbonChampionBattle	Campeón de Torneo
RibbonChampionRegional	Campeón de Área
RibbonChampionNational	Campeón Nacional
RibbonChampionWorld	Campeón Mundial
RibbonCountMemoryContest	Recuerdo de Concurso
RibbonCountMemoryBattle	Recuerdo de Combate
RibbonChampionG6Hoenn	Campeón de Hoenn (ROZA)
RibbonContestStar	Estelar de Concursos
RibbonMasterCoolness	Carisma experto
RibbonMasterBeauty	Belleza experto
RibbonMasterCuteness	Dulzura experto
RibbonMasterCleverness	Ingenio experto
RibbonMasterToughness	Dureza experto
RibbonG3Cool	Carisma (G3)
RibbonG3CoolSuper	Carisma alto
RibbonG3CoolHyper	Carisma avanzado
RibbonG3CoolMaster	Carisma experto
RibbonG3Beauty	Belleza (G3)
RibbonG3BeautySuper	Belleza alto
RibbonG3BeautyHyper	Belleza avanzado
RibbonG3BeautyMaster	Belleza experto
RibbonG3Cute	Dulzura (G3)
RibbonG3CuteSuper	Dulzura alto
RibbonG3CuteHyper	Dulzura avanzado
RibbonG3CuteMaster	Dulzura experto
RibbonG3Smart	Ingenio (G3)
RibbonG3SmartSuper	Ingenio alto
RibbonG3SmartHyper	Ingenio avanzado
RibbonG3SmartMaster	Ingenio experto
RibbonG3Tough	Dureza (G3)
RibbonG3ToughSuper	Dureza alto
RibbonG3ToughHyper	Dureza avanzado
RibbonG3ToughMaster	Dureza experto
RibbonG4Cool	Carisma (G4)
RibbonG4CoolGreat	Carisma difícil
RibbonG4CoolUltra	Carisma superior
RibbonG4CoolMaster	Carisma experto
RibbonG4Beauty	Belleza (G4)
RibbonG4BeautyGreat	Belleza difícil
RibbonG4BeautyUltra	Belleza superior
RibbonG4BeautyMaster	Belleza experto
RibbonG4Cute	Dulzura (G4)
RibbonG4CuteGreat	Dulzura difícil
RibbonG4CuteUltra	Dulzura superior
RibbonG4CuteMaster	Dulzura experto
RibbonG4Smart	Ingenio (G4)
RibbonG4SmartGreat	Ingenio difícil
RibbonG4SmartUltra	Ingenio superior
RibbonG4SmartMaster	Ingenio experto
RibbonG4Tough	Dureza (G4)
RibbonG4ToughGreat	Dureza difícil
RibbonG4ToughUltra	Dureza superior
RibbonG4ToughMaster	Dureza experto
RibbonWinning	Ganador
RibbonVictory	Victoria
RibbonAbility	Habilidad
RibbonAbilityGreat	Gran Habilidad
RibbonAbilityDouble	Doble Habilidad
RibbonAbilityMulti	Habilidad Múltiple
RibbonAbilityPair	Habilidad Par
RibbonAbilityWorld	Hablildad Mundial
RibbonCountG3Cool	Carisma
RibbonCountG3Beauty	Belleza
RibbonCountG3Cute	Dulzura
RibbonCountG3Smart	Ingenio
RibbonCountG3Tough	Dureza
RibbonChampionAlola	Campeón de Alola
RibbonBattleRoyale	Maestro Battle Royale
RibbonBattleTreeGreat	As del Árbol
RibbonBattleTreeMaster	Maestro del Árbol
