RibbonChampionKalos	Campione Kalos
RibbonChampionG3	Campione (Gen3)
RibbonChampionSinnoh	Campione Sinnoh
RibbonBestFriends	Amicizia
RibbonTraining	Training
RibbonBattlerSkillful	Asso della Lotta
RibbonBattlerExpert	Genio della Lotta
RibbonEffort	Merito
RibbonAlert	Allarme
RibbonShock	Stupore
RibbonDowncast	Sconforto
RibbonCareless	Indolenza
RibbonRelax	Relax
RibbonSnooze	Pisolino
RibbonSmile	Sorriso
RibbonGorgeous	Meraviglia
RibbonRoyal	Reale
RibbonGorgeousRoyal	Meraviglia Reale
RibbonArtist	Artista
RibbonFootprint	Orma
RibbonRecord	Record
RibbonLegend	Leggenda
RibbonCountry	Paese
RibbonNational	Nazionale
RibbonEarth	Geo
RibbonWorld	Mondiale
RibbonClassic	Classico
RibbonPremier	Principale
RibbonEvent	Evento
RibbonBirthday	Compleanno
RibbonSpecial	Speciale
RibbonSouvenir	Ricordo
RibbonWishing	Desiderio
RibbonChampionBattle	Campione Lotta
RibbonChampionRegional	Campione Locale
RibbonChampionNational	Campione Nazionale
RibbonChampionWorld	Campione Mondiale
RibbonCountMemoryContest	Ricordo delle Gare
RibbonCountMemoryBattle	Ricordo delle Lotte
RibbonChampionG6Hoenn	Campione Hoenn (ROSA)
RibbonContestStar	Stella delle Gare
RibbonMasterCoolness	Classe Suprema
RibbonMasterBeauty	Bellezza Suprema
RibbonMasterCuteness	Grazia Suprema
RibbonMasterCleverness	Acume Supremo
RibbonMasterToughness	Grinta Suprema
RibbonG3Cool	Classe (G3)
RibbonG3CoolSuper	Classe: Livello Super
RibbonG3CoolHyper	Classe: Livello Iper
RibbonG3CoolMaster	Classe: Livello Master
RibbonG3Beauty	Bellezza (G3)
RibbonG3BeautySuper	Bellezza: Livello Super
RibbonG3BeautyHyper	Bellezza: Livello Iper
RibbonG3BeautyMaster	Bellezza: Livello Master
RibbonG3Cute	Grazia (G3)
RibbonG3CuteSuper	Grazia: Livello Super
RibbonG3CuteHyper	Grazia: Livello Iper
RibbonG3CuteMaster	Grazia: Livello Master
RibbonG3Smart	Acume (G3)
RibbonG3SmartSuper	Acume: Livello Super
RibbonG3SmartHyper	Acume: Livello Iper
RibbonG3SmartMaster	Acume: Livello Master
RibbonG3Tough	Grinta (G3)
RibbonG3ToughSuper	Grinta: Livello Super
RibbonG3ToughHyper	Grinta: Livello Iper
RibbonG3ToughMaster	Grinta: Livello Master
RibbonG4Cool	Classe (G4)
RibbonG4CoolGreat	Classe: Livello Mega
RibbonG4CoolUltra	Classe: Livello Ultra
RibbonG4CoolMaster	Classe: Livello Master
RibbonG4Beauty	Bellezza (G4)
RibbonG4BeautyGreat	Bellezza: Livello Mega
RibbonG4BeautyUltra	Bellezza: Livello Ultra
RibbonG4BeautyMaster	Bellezza: Livello Master
RibbonG4Cute	Grazia (G4)
RibbonG4CuteGreat	Grazia: Livello Mega
RibbonG4CuteUltra	Grazia: Livello Ultra
RibbonG4CuteMaster	Grazia: Livello Master
RibbonG4Smart	Acume (G4)
RibbonG4SmartGreat	Acume: Livello Mega
RibbonG4SmartUltra	Acume: Livello Ultra
RibbonG4SmartMaster	Acume: Livello Master
RibbonG4Tough	Grinta (G4)
RibbonG4ToughGreat	Grinta: Livello Mega
RibbonG4ToughUltra	Grinta: Livello Ultra
RibbonG4ToughMaster	Grinta: Livello Master
RibbonWinning	Vittoria
RibbonVictory	Trionfo
RibbonAbility	Abilità
RibbonAbilityGreat	Abilità Mega
RibbonAbilityDouble	Abilità Doppia
RibbonAbilityMulti	Abilità Multipla
RibbonAbilityPair	Abilità Insieme
RibbonAbilityWorld	Abilità Mondiale
RibbonCountG3Cool	Classe
RibbonCountG3Beauty	Bellezza
RibbonCountG3Cute	Grazia
RibbonCountG3Smart	Acume
RibbonCountG3Tough	Grinta
RibbonChampionAlola	Campione Alola
RibbonBattleRoyale	Asso Royale
RibbonBattleTreeGreat	Asso dell’Albero
RibbonBattleTreeMaster	Genio dell’Albero
RibbonChampionGalar	Campione Galar
RibbonTowerMaster	Asso della Torre
RibbonMasterRank	Asso Competizione
RibbonMarkLunchtime	Emblema Mezzogiorno
RibbonMarkSleepyTime	Emblema Mezzanotte
RibbonMarkDusk	Emblema Tramonto
RibbonMarkDawn	Emblema Alba
RibbonMarkCloudy	Emblema Nuvolo
RibbonMarkRainy	Emblema Pioggia
RibbonMarkStormy	Emblema Tuoni e Lampi
RibbonMarkSnowy	Emblema Neve
RibbonMarkBlizzard	Emblema Tormenta
RibbonMarkDry	Emblema Arsura
RibbonMarkSandstorm	Emblema Tempesta di Sabbia
RibbonMarkMisty	Emblema Nebbia
RibbonMarkDestiny	Emblema Destino
RibbonMarkFishing	Emblema Pesca
RibbonMarkCurry	Emblema Curry
RibbonMarkUncommon	Emblema Sporadicità
RibbonMarkRare	Emblema Rarità
RibbonMarkRowdy	Emblema Monello
RibbonMarkAbsentMinded	Emblema Spensieratezza
RibbonMarkJittery	Emblema Nervosismo
RibbonMarkExcited	Emblema Speranza
RibbonMarkCharismatic	Emblema Carisma
RibbonMarkCalmness	Emblema Sangue Freddo
RibbonMarkIntense	Emblema Sangue Caldo
RibbonMarkZonedOut	Emblema Disattenzione
RibbonMarkJoyful	Emblema Felicità
RibbonMarkAngry	Emblema Collera
RibbonMarkSmiley	Emblema Sorriso
RibbonMarkTeary	Emblema Sconforto
RibbonMarkUpbeat	Emblema Buonumore
RibbonMarkPeeved	Emblema Malumore
RibbonMarkIntellectual	Emblema Ragione
