RibbonChampionKalos	カロス　チャンプリボン
RibbonChampionG3	チャンプリボン (3世代)
RibbonChampionSinnoh	シンオウ　チャンプリボン
RibbonBestFriends	なかよしリボン
RibbonTraining	しゅぎょうリボン
RibbonBattlerSkillful	グレートバトルリボン
RibbonBattlerExpert	マスターバトルリボン
RibbonEffort	がんばリボン
RibbonAlert	しゃっきリボン
RibbonShock	どっきリボン
RibbonDowncast	しょんぼリボン
RibbonCareless	うっかリボン
RibbonRelax	すっきリボン
RibbonSnooze	ぐっすリボン
RibbonSmile	にっこリボン
RibbonGorgeous	ゴージャスリボン
RibbonRoyal	ロイヤルリボン
RibbonGorgeousRoyal	ゴージャスロイヤルリボン
RibbonArtist	ブロマイドリボン
RibbonFootprint	あしあとリボン
RibbonRecord	レコードリボン
RibbonLegend	レジェンドリボン
RibbonCountry	カントリーリボン
RibbonNational	ナショナルリボン
RibbonEarth	アースリボン
RibbonWorld	ワールドリボン
RibbonClassic	クラシックリボン
RibbonPremier	プレミアリボン
RibbonEvent	イベントリボン
RibbonBirthday	バースデーリボン
RibbonSpecial	スペシャルリボン
RibbonSouvenir	メモリアルリボン
RibbonWishing	ウィッシュリボン
RibbonChampionBattle	バトルチャンプリボン
RibbonChampionRegional	エリアチャンプリボン
RibbonChampionNational	ナショナルチャンプリボン
RibbonChampionWorld	ワールドチャンプリボン
RibbonCountMemoryContest	おもいでコンテストリボン
RibbonCountMemoryBattle	おもいでバトルリボン
RibbonChampionG6Hoenn	ホウエン　チャンプリボン (ORAS)
RibbonContestStar	コンテストスターリボン
RibbonMasterCoolness	かっこよさマスターリボン
RibbonMasterBeauty	うつくしさマスターリボン
RibbonMasterCuteness	かわいさマスターリボン
RibbonMasterCleverness	かしこさマスターリボン
RibbonMasterToughness	たくましさマスターリボン
RibbonG3Cool	クールリボン (3世代)
RibbonG3CoolSuper	クールリボンスーパー (3世代)
RibbonG3CoolHyper	クールリボンハイパー (3世代)
RibbonG3CoolMaster	クールリボンマスター (3世代)
RibbonG3Beauty	ビューティリボン (3世代)
RibbonG3BeautySuper	ビューティリボンスーパー (3世代)
RibbonG3BeautyHyper	ビューティリボンハイパー (3世代)
RibbonG3BeautyMaster	ビューティリボンマスター (3世代)
RibbonG3Cute	キュートリボン (3世代)
RibbonG3CuteSuper	キュートリボンスーパー (3世代)
RibbonG3CuteHyper	キュートリボンハイパー (3世代)
RibbonG3CuteMaster	キュートリボンマスター (3世代)
RibbonG3Smart	ジーニアスリボン (3世代)
RibbonG3SmartSuper	ジーニアスリボンスーパー (3世代)
RibbonG3SmartHyper	ジーニアスリボンハイパー (3世代)
RibbonG3SmartMaster	ジーニアスリボンマスター (3世代)
RibbonG3Tough	パワフルリボン (3世代)
RibbonG3ToughSuper	パワフルリボンスーパー (3世代)
RibbonG3ToughHyper	パワフルリボンハイパー (3世代)
RibbonG3ToughMaster	パワフルリボンマスター (3世代)
RibbonG4Cool	クールリボン (4世代)
RibbonG4CoolGreat	クールリボングレート (4世代)
RibbonG4CoolUltra	クールリボンウルトラ (4世代)
RibbonG4CoolMaster	クールリボンマスター (4世代)
RibbonG4Beauty	ビューティリボン (4世代)
RibbonG4BeautyGreat	ビューティーリボングレート (4世代)
RibbonG4BeautyUltra	ビューティーリボンウルトラ (4世代)
RibbonG4BeautyMaster	ビューティーリボンマスター (4世代)
RibbonG4Cute	キュートリボン (4世代)
RibbonG4CuteGreat	キュートリボングレート (4世代)
RibbonG4CuteUltra	キュートリボンウルトラ (4世代)
RibbonG4CuteMaster	キュートリボンマスター (4世代)
RibbonG4Smart	ジーニアスリボン (4世代)
RibbonG4SmartGreat	ジーニアスリボングレート (4世代)
RibbonG4SmartUltra	ジーニアスリボンウルトラ (4世代)
RibbonG4SmartMaster	ジーニアスリボンマスター (4世代)
RibbonG4Tough	パワフルリボン (4世代)
RibbonG4ToughGreat	パワフルリボングレート (4世代)
RibbonG4ToughUltra	パワフルリボンウルトラ (4世代)
RibbonG4ToughMaster	パワフルリボンマスター (4世代)
RibbonWinning	ウイニングリボン
RibbonVictory	ビクトリーリボン
RibbonAbility	アビリティリボン
RibbonAbilityGreat	グレートアビリティリボン
RibbonAbilityDouble	ダブルアビリティリボン
RibbonAbilityMulti	マルチアビリティリボン
RibbonAbilityPair	ペアアビリティリボン
RibbonAbilityWorld	ワールドアビリティリボン
RibbonCountG3Cool	かっこよさリボン
RibbonCountG3Beauty	うつくしさリボン
RibbonCountG3Cute	かわいさリボン
RibbonCountG3Smart	かしこさリボン
RibbonCountG3Tough	たくましさリボン
RibbonChampionAlola	アローラ　チャンプリボン
RibbonBattleRoyale	ロイヤルマスターリボン
RibbonBattleTreeGreat	グレートツリーリボン
RibbonBattleTreeMaster	マスターツリーリボン
RibbonChampionGalar	ガラル チャンプリボン
RibbonTowerMaster	マスタータワーリボン
RibbonMasterRank	マスターランクリボン
RibbonMarkLunchtime	しょうごのあかし
RibbonMarkSleepyTime	しょうしのあかし
RibbonMarkDusk	たそがれのあかし
RibbonMarkDawn	あかつきのあかし
RibbonMarkCloudy	どんてんのあかし
RibbonMarkRainy	あめふりのあかし
RibbonMarkStormy	いかづちのあかし
RibbonMarkSnowy	こうせつのあかし
RibbonMarkBlizzard	ごうせつのあかし
RibbonMarkDry	かんそうのあかし
RibbonMarkSandstorm	さじんのあかし
RibbonMarkMisty	のうむのあかし
RibbonMarkDestiny	うんめいのあかし
RibbonMarkFishing	つりあげられたあかし
RibbonMarkCurry	カレーのあかし
RibbonMarkUncommon	ときどきみるあかし
RibbonMarkRare	みたことのないあかし
RibbonMarkRowdy	わんぱくなあかし
RibbonMarkAbsentMinded	のうてんきなあかし
RibbonMarkJittery	きんちょうのあかし
RibbonMarkExcited	きたいのあかし
RibbonMarkCharismatic	カリスマのあかし
RibbonMarkCalmness	れいせいのあかし
RibbonMarkIntense	じょうねつのあかし
RibbonMarkZonedOut	ゆだんのあかし
RibbonMarkJoyful	たこうのあかし
RibbonMarkAngry	ふんぬのあかし
RibbonMarkSmiley	びしょうのあかし
RibbonMarkTeary	ひそうのあかし
RibbonMarkUpbeat	かいちょうのあかし
RibbonMarkPeeved	げきはつのあかし
RibbonMarkIntellectual	りせいのあかし
RibbonMarkFerocious	ほんのうのあかし
RibbonMarkCrafty	こうかつのあかし
RibbonMarkScowling	こわもてのあかし
RibbonMarkKindly	やさがたのあかし
RibbonMarkFlustered	どうようのあかし
RibbonMarkPumpedUp	こうようのあかし
RibbonMarkZeroEnergy	けんたいのあかし
RibbonMarkPrideful	じしんのあかし
RibbonMarkUnsure	ふしんのあかし
RibbonMarkHumble	ぼくとつのあかし
RibbonMarkThorny	ふじゅんのあかし
RibbonMarkVigor	げんきのあかし
RibbonMarkSlump	ふちょうのあかし
RibbonHisui	ヒスイリボン
RibbonTwinklingStar	トゥインクルスターリボン
RibbonChampionPaldea	パルデア　チャンプリボン
RibbonMarkJumbo	でっかいあかし
RibbonMarkMini	ちっちゃいあかし
RibbonMarkItemfinder	ものひろいのあかし
RibbonMarkPartner	あいぼうのあかし
RibbonMarkGourmand	グルメなあかし
RibbonOnceInALifetime	せんざいいちぐうリボン
RibbonMarkAlpha	オヤブンのあかし
RibbonMarkMightiest	さいきょうのあかし
RibbonMarkTitan	ヌシのあかし
RibbonPartner	パートナーリボン
