RibbonChampionKalos	Campião de Kalos
RibbonChampionG3Hoenn	Campião de Hoenn (RSE)
RibbonChampionSinnoh	Campião de Sinnoh
RibbonBestFriends	Melhores Amigos
RibbonTraining	Treino
RibbonBattlerSkillful	Batalhador Hábil
RibbonBattlerExpert	Batalhador Experiente
RibbonEffort	Empenho
RibbonAlert	Alerta
RibbonShock	Choque
RibbonDowncast	Desanimado
RibbonCareless	Descuidado
RibbonRelax	Descontraído
RibbonSnooze	Dorminhoco
RibbonSmile	Sorridente
RibbonGorgeous	Deslumbrante
RibbonRoyal	Nobre
RibbonGorgeousRoyal	Nobre Deslumbrante
RibbonArtist	Artista
RibbonFootprint	Pegada
RibbonRecord	Recorde
RibbonLegend	Lenda
RibbonCountry	País
RibbonNational	Nacional
RibbonEarth	Terra
RibbonWorld	Mundo
RibbonClassic	Clássico
RibbonPremier	Premier
RibbonEvent	Evento
RibbonBirthday	Aniversário
RibbonSpecial	Especial
RibbonSouvenir	Lembrança
RibbonWishing	Desejando
RibbonChampionBattle	Campião de Batalha
RibbonChampionRegional	Campião Regional
RibbonChampionNational	Campião Nacional
RibbonChampionWorld	Campião Mundial
RibbonCountMemoryContest	Fitas de Concursos Passados
RibbonCountMemoryBattle	Fitas de Batalhas Passadas
RibbonChampionG6Hoenn	Campeão de Hoenn (ORAS)
RibbonContestStar	Estrela de Concurso
RibbonMasterCoolness	Mestre da Fixeza
RibbonMasterBeauty	Mestre da Beleza
RibbonMasterCuteness	Mestre da Fofura
RibbonMasterCleverness	Mestre da Esperteza
RibbonMasterToughness	Mestre da Tenacidade
RibbonG3Cool	Fixeza (G3)
RibbonG3CoolSuper	Fixeza Super
RibbonG3CoolHyper	Fixeza Hyper
RibbonG3CoolMaster	Fixeza Master
RibbonG3Beauty	Beleza (G3)
RibbonG3BeautySuper	Beleza Super
RibbonG3BeautyHyper	Beleza Hyper
RibbonG3BeautyMaster	Beleza Master
RibbonG3Cute	Fofura (G3)
RibbonG3CuteSuper	Fofura Super
RibbonG3CuteHyper	Fofura Hyper
RibbonG3CuteMaster	Fofura Master
RibbonG3Smart	Esperteza (G3)
RibbonG3SmartSuper	Esperteza Super
RibbonG3SmartHyper	Esperteza Hyper
RibbonG3SmartMaster	Esperteza Master
RibbonG3Tough	Tenacidade (G3)
RibbonG3ToughSuper	Tenacidade Super
RibbonG3ToughHyper	Tenacidade Hyper
RibbonG3ToughMaster	Tenacidade Master
RibbonG4Cool	Fixeza (G4)
RibbonG4CoolGreat	Fixeza Great
RibbonG4CoolUltra	Fixeza Ultra
RibbonG4CoolMaster	Fixeza Master
RibbonG4Beauty	Beleza (G4)
RibbonG4BeautyGreat	Beleza Great
RibbonG4BeautyUltra	Beleza Ultra
RibbonG4BeautyMaster	Beleza Master
RibbonG4Cute	Fofura (G4)
RibbonG4CuteGreat	Fofura Great
RibbonG4CuteUltra	Fofura Ultra
RibbonG4CuteMaster	Fofura Master
RibbonG4Smart	Esperteza (G4)
RibbonG4SmartGreat	Esperteza Great
RibbonG4SmartUltra	Esperteza Ultra
RibbonG4SmartMaster	Esperteza Master
RibbonG4Tough	Tenacidade (G4)
RibbonG4ToughGreat	Tenacidade Great
RibbonG4ToughUltra	Tenacidade Ultra
RibbonG4ToughMaster	Tenacidade Master
RibbonWinning	Winning
RibbonVictory	Victory
RibbonAbility	Ability
RibbonAbilityGreat	Great Ability
RibbonAbilityDouble	Double Ability
RibbonAbilityMulti	Multi Ability
RibbonAbilityPair	Pair Ability
RibbonAbilityWorld	World Ability
RibbonCountG3Cool	Fixeza
RibbonCountG3Beauty	Beleza
RibbonCountG3Cute	Fofura
RibbonCountG3Smart	Esperteza
RibbonCountG3Tough	Tenacidade
RibbonChampionAlola	Alola Champion
RibbonBattleRoyale	Battle Royal Champion
RibbonBattleTreeGreat	Battle Tree Great
RibbonBattleTreeMaster	Battle Tree Master
