RibbonChampionKalos	卡洛斯冠軍獎章
RibbonChampionG3	冠軍獎章 (3代)
RibbonChampionSinnoh	神奧冠軍獎章
RibbonBestFriends	好友獎章
RibbonTraining	修行獎章
RibbonBattlerSkillful	高手對戰獎章
RibbonBattlerExpert	大師對戰獎章
RibbonEffort	努力獎章
RibbonAlert	振奮獎章
RibbonShock	心跳獎章
RibbonDowncast	失望獎章
RibbonCareless	大意獎章
RibbonRelax	爽快獎章
RibbonSnooze	酣睡獎章
RibbonSmile	歡笑獎章
RibbonGorgeous	豪華獎章
RibbonRoyal	高貴獎章
RibbonGorgeousRoyal	豪華高貴獎章
RibbonArtist	肖像獎章
RibbonFootprint	腳印獎章
RibbonRecord	紀錄獎章
RibbonLegend	傳說獎章
RibbonCountry	地區獎章
RibbonNational	國家獎章
RibbonEarth	地球獎章
RibbonWorld	世界獎章
RibbonClassic	經典獎章
RibbonPremier	紀念獎章
RibbonEvent	活動獎章
RibbonBirthday	生日獎章
RibbonSpecial	特殊獎章
RibbonSouvenir	回憶獎章
RibbonWishing	許願獎章
RibbonChampionBattle	對戰冠軍獎章
RibbonChampionRegional	地區冠軍獎章
RibbonChampionNational	國家冠軍獎章
RibbonChampionWorld	世界冠軍獎章
RibbonCountMemoryContest	華麗大賽回憶獎章
RibbonCountMemoryBattle	對戰回憶獎章
RibbonChampionG6Hoenn	豐緣冠軍獎章 (ORAS)
RibbonContestStar	華麗大賽之星獎章
RibbonMasterCoolness	帥氣大師獎章 (6代)
RibbonMasterBeauty	美麗大師獎章 (6代)
RibbonMasterCuteness	可愛大師獎章 (6代)
RibbonMasterCleverness	聰明大師獎章 (6代)
RibbonMasterToughness	強壯大師獎章 (6代)
RibbonG3Cool	帥氣獎章 (3代)
RibbonG3CoolSuper	帥氣超級獎章 (3代)
RibbonG3CoolHyper	帥氣高級獎章 (3代)
RibbonG3CoolMaster	帥氣大師獎章 (3代)
RibbonG3Beauty	美麗獎章 (3代)
RibbonG3BeautySuper	美麗超級獎章 (3代)
RibbonG3BeautyHyper	美麗高級獎章 (3代)
RibbonG3BeautyMaster	美麗大師獎章 (3代)
RibbonG3Cute	可愛獎章 (3代)
RibbonG3CuteSuper	可愛超級獎章 (3代)
RibbonG3CuteHyper	可愛高級獎章 (3代)
RibbonG3CuteMaster	可愛大師獎章 (3代)
RibbonG3Smart	聰明獎章 (3代)
RibbonG3SmartSuper	聰明超級獎章 (3代)
RibbonG3SmartHyper	聰明高級獎章 (3代)
RibbonG3SmartMaster	聰明大師獎章 (3代)
RibbonG3Tough	強壯獎章 (3代)
RibbonG3ToughSuper	強壯超級獎章 (3代)
RibbonG3ToughHyper	強壯高級獎章 (3代)
RibbonG3ToughMaster	強壯大師獎章 (3代)
RibbonG4Cool	帥氣獎章 (4代)
RibbonG4CoolGreat	帥氣上級獎章 (4代)
RibbonG4CoolUltra	帥氣究極獎章 (4代)
RibbonG4CoolMaster	帥氣大師獎章 (4代)
RibbonG4Beauty	美麗獎章 (4代)
RibbonG4BeautyGreat	美麗上級獎章 (4代)
RibbonG4BeautyUltra	美麗究極獎章 (4代)
RibbonG4BeautyMaster	美麗大師獎章 (4代)
RibbonG4Cute	可愛獎章 (4代)
RibbonG4CuteGreat	可愛上級獎章 (4代)
RibbonG4CuteUltra	可愛究極獎章 (4代)
RibbonG4CuteMaster	可愛大師獎章 (4代)
RibbonG4Smart	聰明獎章 (4代)
RibbonG4SmartGreat	聰明上級獎章 (4代)
RibbonG4SmartUltra	聰明究極獎章 (4代)
RibbonG4SmartMaster	聰明大師獎章 (4代)
RibbonG4Tough	強壯獎章 (4代)
RibbonG4ToughGreat	強壯上級獎章 (4代)
RibbonG4ToughUltra	強壯究極獎章 (4代)
RibbonG4ToughMaster	強壯大師獎章 (4代)
RibbonWinning	成功獎章
RibbonVictory	勝利獎章
RibbonAbility	才能獎章
RibbonAbilityGreat	超級才能獎章
RibbonAbilityDouble	雙人才能獎章
RibbonAbilityMulti	多人才能獎章
RibbonAbilityPair	組隊雙打才能獎章
RibbonAbilityWorld	世界才能獎章
RibbonCountG3Cool	帥氣獎章
RibbonCountG3Beauty	美麗獎章
RibbonCountG3Cute	可愛獎章
RibbonCountG3Smart	聰明獎章
RibbonCountG3Tough	強壯獎章
RibbonChampionAlola	阿羅拉冠軍獎章
RibbonBattleRoyale	皇家大師獎章
RibbonBattleTreeGreat	高手對戰樹獎章
RibbonBattleTreeMaster	大師對戰樹獎章
RibbonChampionGalar	伽勒爾冠軍獎章
RibbonTowerMaster	對戰塔大師獎章
RibbonMasterRank	級別對戰大師獎章
RibbonMarkLunchtime	正午之證
RibbonMarkSleepyTime	午夜之證
RibbonMarkDusk	黃昏之證
RibbonMarkDawn	拂曉之證
RibbonMarkCloudy	陰雲之證
RibbonMarkRainy	降雨之證
RibbonMarkStormy	落雷之證
RibbonMarkSnowy	降雪之證
RibbonMarkBlizzard	暴雪之證
RibbonMarkDry	乾燥之證
RibbonMarkSandstorm	沙塵之證
RibbonMarkMisty	濃霧之證
RibbonMarkDestiny	命運之證
RibbonMarkFishing	上鉤之證
RibbonMarkCurry	咖喱之證
RibbonMarkUncommon	偶遇之證
RibbonMarkRare	未知之證
RibbonMarkRowdy	淘氣之證
RibbonMarkAbsentMinded	無慮之證
RibbonMarkJittery	緊張之證
RibbonMarkExcited	期待之證
RibbonMarkCharismatic	領袖之證
RibbonMarkCalmness	冷靜之證
RibbonMarkIntense	熱情之證
RibbonMarkZonedOut	疏忽之證
RibbonMarkJoyful	幸福之證
RibbonMarkAngry	憤怒之證
RibbonMarkSmiley	微笑之證
RibbonMarkTeary	悲傷之證
RibbonMarkUpbeat	爽快之證
RibbonMarkPeeved	激動之證
RibbonMarkIntellectual	理性之證
RibbonMarkFerocious	本能之證
RibbonMarkCrafty	狡猾之證
RibbonMarkScowling	兇悍之證
RibbonMarkKindly	優雅之證
RibbonMarkFlustered	動搖之證
RibbonMarkPumpedUp	昂揚之證
RibbonMarkZeroEnergy	倦怠之證
RibbonMarkPrideful	自信之證
RibbonMarkUnsure	自卑之證
RibbonMarkHumble	木訥之證
RibbonMarkThorny	不純之證
RibbonMarkVigor	活力之證
RibbonMarkSlump	不振之證
RibbonHisui	洗翠獎章
RibbonTwinklingStar	閃亮之星獎章
RibbonChampionPaldea	帕底亞冠軍獎章
RibbonMarkJumbo	大個子之證
RibbonMarkMini	小不點之證
RibbonMarkItemfinder	撿拾之證
RibbonMarkPartner	搭檔之證
RibbonMarkGourmand	美食之證
RibbonOnceInALifetime	千載難逢獎章
RibbonMarkAlpha	頭目之證
RibbonMarkMightiest	最強之證
RibbonMarkTitan	寳主之證
RibbonPartner	同伴獎章
