RibbonChampionKalos	卡洛斯冠軍
RibbonChampionG3	冠軍 (Gen3)
RibbonChampionSinnoh	神奧冠軍
RibbonBestFriends	好友
RibbonTraining	修行
RibbonBattlerSkillful	高手對戰
RibbonBattlerExpert	大師對戰
RibbonEffort	努力
RibbonAlert	振奮
RibbonShock	心跳
RibbonDowncast	失望
RibbonCareless	大意
RibbonRelax	暢快
RibbonSnooze	酣睡
RibbonSmile	歡笑
RibbonGorgeous	豪華
RibbonRoyal	高貴
RibbonGorgeousRoyal	豪華高貴
RibbonArtist	肖像
RibbonFootprint	腳印
RibbonRecord	紀錄
RibbonLegend	傳說
RibbonCountry	地區
RibbonNational	國家
RibbonEarth	地球
RibbonWorld	世界
RibbonClassic	經典
RibbonPremier	紀念
RibbonEvent	活動
RibbonBirthday	生日
RibbonSpecial	特殊
RibbonSouvenir	回憶
RibbonWishing	許願
RibbonChampionBattle	對戰冠軍
RibbonChampionRegional	地區冠軍
RibbonChampionNational	國家冠軍
RibbonChampionWorld	世界冠軍
RibbonCountMemoryContest	華麗大賽回憶獎章
RibbonCountMemoryBattle	對戰回憶獎章
RibbonChampionG6Hoenn	豐緣冠軍 (Gen6)
RibbonContestStar	華麗大賽之星
RibbonMasterCoolness	帥氣大師
RibbonMasterBeauty	美麗大師
RibbonMasterCuteness	可愛大師
RibbonMasterCleverness	聰明大師
RibbonMasterToughness	強壯大師
RibbonG3Cool	帥氣 (Gen3)
RibbonG3CoolSuper	帥氣超級
RibbonG3CoolHyper	帥氣專家
RibbonG3CoolMaster	帥氣大師
RibbonG3Beauty	美麗 (Gen3)
RibbonG3BeautySuper	美麗超級
RibbonG3BeautyHyper	美麗專家
RibbonG3BeautyMaster	美麗大師
RibbonG3Cute	可愛 (Gen3)
RibbonG3CuteSuper	可愛超級
RibbonG3CuteHyper	可愛專家
RibbonG3CuteMaster	可愛大師
RibbonG3Smart	聰明 (Gen3)
RibbonG3SmartSuper	聰明超級
RibbonG3SmartHyper	聰明專家
RibbonG3SmartMaster	聰明大師
RibbonG3Tough	強壯 (Gen3)
RibbonG3ToughSuper	強壯超級
RibbonG3ToughHyper	強壯專家
RibbonG3ToughMaster	強壯大師
RibbonG4Cool	帥氣 (Gen4)
RibbonG4CoolGreat	帥氣超級
RibbonG4CoolUltra	帥氣究極
RibbonG4CoolMaster	帥氣大師
RibbonG4Beauty	美麗 (Gen4)
RibbonG4BeautyGreat	美麗超級
RibbonG4BeautyUltra	美麗究極
RibbonG4BeautyMaster	美麗大師
RibbonG4Cute	可愛 (Gen4)
RibbonG4CuteGreat	可愛超級
RibbonG4CuteUltra	可愛究極
RibbonG4CuteMaster	可愛大師
RibbonG4Smart	聰明 (Gen4)
RibbonG4SmartGreat	聰明超級
RibbonG4SmartUltra	聰明究極
RibbonG4SmartMaster	聰明大師
RibbonG4Tough	強壯 (G4)
RibbonG4ToughGreat	強壯超級
RibbonG4ToughUltra	強壯究極
RibbonG4ToughMaster	強壯大師
RibbonWinning	成功
RibbonVictory	勝利
RibbonAbility	才能
RibbonAbilityGreat	超級才能
RibbonAbilityDouble	雙人才能
RibbonAbilityMulti	多人才能
RibbonAbilityPair	組隊雙打才能
RibbonAbilityWorld	世界才能
RibbonCountG3Cool	帥氣
RibbonCountG3Beauty	美麗
RibbonCountG3Cute	可愛
RibbonCountG3Smart	聰明
RibbonCountG3Tough	強壯
RibbonChampionAlola	阿羅拉冠軍
RibbonBattleRoyale	皇家大師
RibbonBattleTreeGreat	高手對戰樹
RibbonBattleTreeMaster	大師對戰樹
RibbonChampionGalar	伽勒爾冠軍獎章
RibbonTowerMaster	對戰塔大師獎章
RibbonMasterRank	級別對戰大師獎章
RibbonMarkLunchtime	正午之證
RibbonMarkSleepyTime	午夜之證
RibbonMarkDusk	黃昏之證
RibbonMarkDawn	拂曉之證
RibbonMarkCloudy	陰雲之證
RibbonMarkRainy	降雨之證
RibbonMarkStormy	落雷之證
RibbonMarkSnowy	降雪之證
RibbonMarkBlizzard	暴雪之證
RibbonMarkDry	乾燥之證
RibbonMarkSandstorm	沙塵之證
RibbonMarkMisty	濃霧之證
RibbonMarkDestiny	命運之證
RibbonMarkFishing	上鉤之證
RibbonMarkCurry	咖喱之證
RibbonMarkUncommon	偶遇之證
RibbonMarkRare	未知之證
RibbonMarkRowdy	淘氣之證
