0x237	Recibida MO01 Corte
0x238	Recibida MO02 Vuelo
0x239	Recibida MO03 Surf
0x23A	Recibida MO04 Fuerza
0x23B	Recibida MO05 Destello
0x2EF	Recibida MO06 Rompe Roca

0x820	Recibida Medalla Roca
0x821	Recibida Medalla Cascada
0x822	Recibida Medalla Trueno
0x823	Recibida Medalla Arcoiris
0x824	Recibida Medalla Alma
0x825	Recibida Medalla Pantano
0x826	Recibida Medalla Volcán
0x827	Recibida Medalla Tierra

0x24B	Intercambiado en Túner Subterráneo
0x24D	Intercambiado en Ciudad Carmín
0x248	Intercambiado en Ruta 2
0x257	Intercambiado en Ruta 18
0x274	Intercambiado en Laboratorio Canela

0x249	Magikarp Comprado 
0x232	Recibido Fósil Hélix/Domo
0x057	Recibido Eevee
0x246	Recibido Lapras
0x278	Recibido Hitmonchan/Hitmonlee
0x2DA	Recibido Huevo Togepi

0x2A7	Recibido Ori-Ticket desde Regalo Misterioso
0x2A8	Recibido Misti-Ticket desde Regalo Misterioso

0x2F0	Muestra Misti-Ticket
0x2F1	Muestra Ori-Ticket

0x84A	Puede viajar a Roca Ombligo 
0x84B	Puede viajar a Isla Origen

0x2BE	Capturado/Derrotado Articuno
0x2BF	Capturado/Derrotado Zapdos
0x2BD	Capturado/Derrotado Moltres
0x2F2	Capturado Lugia
0x2F5	Derrotado Lugia
0x2F3	Capturado Ho-Oh
0x2F6	Derrotado Ho-Oh
0x2E4	Capturado Deoxys
0x2F7	Derrotado Deoxys
0x085	Derrotado Voltorb (1)
0x086	Derrotado Voltorb (2)
0x2D0	Derrotado Electrode (1)
0x2D2	Derrotado Electrode (2)

0x060	Escondido en el mundo (Hitmonlee bola)
0x061	Escondido en el mundo (Hitmonchan bola)
0x02F	Escondido en el mundo (Fósil Domo)
0x030	Escondido en el mundo (Fósil Hélix)
0x082	Escondido en el mundo (Articuno)
0x05D	Escondido en el mundo (Zapdos)
0x052	Escondido en el mundo (Moltres)
0x081	Escondido en el mundo (Mewtwo)
0x09B	Escondido en el mundo (Lugia)
0x09C	Escondido en el mundo (Ho-Oh)
0x09A	Escondido en el mundo (Deoxys)
0x054	Escondido en el mundo(Snorlax, Ruta 12)
0x080	Escondido en el mundo (Snorlax, Ruta 16)

0x2C0	Usado Tutor de Movimientos en Calle Victoria (Doble Filo)
0x2C1	Usado Tutor de Movimientos en Silph S.A. (Onda Trueno)
0x2C2	Usado Tutor de Movimientos en Túnel Rocal (Avalancha)
0x2C3	Usado Tutor de Movimientos en Monte Ascuas (Explosión)
0x2C4	Usado Tutor de Movimientos en Ruta 4 (Mega Puño)
0x2C5	Usado Tutor de Movimientos en Ruta 4 (Mega Patada)
0x2C6	Usado Tutor de Movimientos en Ciudad Verde (Insomnio)
0x2C7	Usado Tutor de Movimientos en Centro comercial de Ciudad Azulona (Amortiguador)
0x2C8	Usado Tutor de Movimientos en Ciudad Fucsia (Sustituto)
0x2C9	Usado Tutor de Movimientos en Isla Sete (Danza Espada)
0x2CA	Usado Tutor de Movimientos en Ciudad Plateada (Tiro Sísmico)
0x2CB	Usado Tutor de Movimientos en Ciudad Azulona (Contador)
0x2CC	Usado Tutor de Movimientos en Isla Canela (Metrónomo)
0x2CD	Usado Tutor de Movimientos en Ciudad Azafrán (Mimético)
0x2CE	Usado Tutor de Movimientos en Isla Cuarta (Golpe Cuerpo)
0x2DE	Used Move Tutor at Cape Brink (Frenzy Plant)
0x2DF	Used Move Tutor at Cape Brink (Blast Burn)
0x2E0	Used Move Tutor at Cape Brink (Hydro Cannon)
0x2E1	Cape Brink Move Tutor taught all 3 Moves

0x829	Recibida PokéDex
0x82F	Recibidas Deportivas
0x834	Debloqueada PC de Bill
0x839	Enabled Mystery Gift
0x840	Received National Pokedex
0x2A1	Restaurada Conectividad con Kanto
0x844	Restaurada Conectividad con Hoenn
0x845	Received Tri-Pass
0x846	Received Rainbow Pass
0x29B	Recibido Memorín
0x241	Recibido Bono Bici
0x2A5	Recibida Llave Ascensor
0x2A6	Recibido Té
0x23C	Mr. Fuji Rescatado
0x23D	Recibida Poke Flauta
0x82C	Entrada al  Hall de la Fama
0x2DD	Recibido Rubí
0x2E3	Puerta con agujeros Abierta
0x2D8	Zafiro Robado
0x2D6	Puerta Abierta de la Guarida Rocket
0x2DC	Recibido Zafiro
0x2FA	Recibida Piedra Eterna (Ayudante de Oak, Centro Pokemon del Túnel Roca)
0x252	Recibido Buscaobjetos (Ayudante de Oak, Ruta 11)
0x256	Recibido Rep. Exp. (Ayudante de Oak, Ruta 15)
0x2FD	Recibido Amuleto Suerte (Ayudante de Oak, Ruta 16)
0x25E	Recibido Ambar Viejo
0x236	Limonada donada a Tectonix
0x2D9	Imponer Récord del Tamaño de Heracross
0040	Bola de Bulbasaur en el Laboratorio de Oak desaparecida
0041	Bola de Squirtle en el Laboratorio de Oak desaparecida
0042	Bola de Charmander en el Laboratorio de Oak desaparecida
2121	Puzzle de Llave Sete Resuelto/Unown Salvajes en las Cámaras Sete
0424	Found Secret Key
1190	Found Lava Cookie in S.S. Anne port
0626	Chose Dome Fossil (Omanyte in Pokémon Zoo)
0627	Chose Helix Fossil (Kabuto in Pokémon Zoo)
2192	Can Fly to Pallet Town
2193	Can Fly to Viridian City
2194	Can Fly to Pewter City
2195	Can Fly to Cerulean City
2196	Can Fly to Lavender Town
2197	Can Fly to Vermilion City
2198	Can Fly to Celadon City
2199	Can Fly to Fuchsia City
2200	Can Fly to Cinnabar Island
2201	Can Fly to Indigo Plateau
2202	Can Fly to Saffron City
2203	Can Fly to One Island
2204	Can Fly to Two Island
2205	Can Fly to Three Island
2206	Can Fly to Four Island
2207	Can Fly to Five Island
2209	Can Fly to Six Island
2208	Can Fly to Seven Island
2210	Can Fly to Route 4 (Pokémon Center)
2211	Can Fly to Route 10 (Pokémon Center)
1381	Had Youngster Ben 1st Rematch
1778	Had Youngster Ben 2nd Rematch
1779	Had Youngster Ben 3rd Rematch
1780	Had Youngster Chad 1st Rematch
1786	Had Youngster Chad 2nd Rematch
1789	Had Youngster Chad 3rd Rematch
1781	Had Lass Reli 1st Rematch
1782	Had Lass Reli 2nd Rematch
1383	Had Youngster Timmy 1st Rematch
1784	Had Youngster Timmy 2nd Rematch
1785	Had Youngster Timmy 3rd Rematch
1787	Had Lass Janice 1st Rematch
1788	Had Lass Janice 2nd Rematch
1790	Had Hiker Franklin Rematch
1813	Had Twins Eli and Anne Rematch
1874	Had PokéManiac Mark 1st Rematch
1924	Had PokéManiac Mark 2nd Rematch
1901	Had Picnicker Kelsey 1st Rematch
1902	Had Picnicker Kelsey 2nd Rematch
1903	Had Picnicker Kelsey 3rd Rematch
1904	Had Camper Ricky 1st Rematch
1905	Had Camper Ricky 2nd Rematch
1906	Had Camper Ricky 3rd Rematch
1907	Had Camper Jeff 1st Rematch
1908	Had Camper Jeff 2nd Rematch
1909	Had Camper Jeff 3rd Rematch
1910	Had Picnicker Isabelle 1st Rematch
1911	Had Picnicker Isabelle 2nd Rematch
1912	Had Picnicker Isabelle 3rd Rematch
1913	Had Youngster Yasu 1st Rematch
1914	Had Youngster Yasu 2nd Rematch
1915	Had Engineer Bernie Rematch
1916	Had Gamer Darian Rematch
1917	Had Camper Chris 1st Rematch
1918	Had Camper Chris 2nd Rematch
1919	Had Camper Chris 3rd Rematch
1920	Had Picnicker Alicia 1st Rematch
1921	Had Picnicker Alicia 2nd Rematch
1922	Had Picnicker Alicia 3rd Rematch
1923	Had Hiker Jeremy Rematch
1925	Had PokéManiac Herman 1st Rematch
1926	Had PokéManiac Herman 2nd Rematch
1927	Had Hiker Trent Rematch
1928	Had Lass Megan 1st Rematch
1929	Had Lass Megan 2nd Rematch
1930	Had Super Nerd Glenn Rematch
1931	Had Gamer Rich Rematch
1932	Had Biker Jaren Rematch
1933	Had Fisherman Elliot Rematch
1934	Had Rocker Luca Rematch
1935	Had Beauty Sheila Rematch
1936	Had Bird Keeper Robert 1st Rematch
1937	Had Bird Keeper Robert 2nd Rematch
1938	Had Picnicker Susie 1st Rematch
1939	Had Picnicker Susie 2nd Rematch
1940	Had Picnicker Susie 3rd Rematch
1941	Had Biker Lukas Rematch
1942	Had Bird Keeper Benny 1st Rematch
1943	Had Bird Keeper Benny 2nd Rematch
1944	Had Bird Keeper Marlon 1st Rematch
1945	Had Bird Keeper Marlon 2nd Rematch
1946	Had Beauty Grace Rematch
1947	Had Bird Keeper Chester 1st Rematch
1948	Had Bird Keeper Chester 2nd Rematch
1949	Had Picnicker Becky 1st Rematch
1950	Had Picnicker Becky 2nd Rematch
1951	Had Picnicker Becky 3rd Rematch
1952	Had Crush Kin Ron and Mya 1st Rematch
1953	Had Crush Kin Ron and Mya 2nd Rematch
1954	Had Crush Kin Ron and Mya 3rd Rematch
1955	Had Biker Ruben Rematch
1956	Had Cue Ball Camron Rematch
1957	Had Biker Jaxon Rematch
1958	Had Cue Ball Isaiah Rematch
1959	Had Cue Ball Corey Rematch
1960	Had Bird Keeper Jacob 1st Rematch
1961	Had Bird Keeper Jacob 2nd Rematch
1962	Had Swimmer Alice Rematch
1963	Had Swimmer Darrin Rematch
