0x089	Received HM01 Cut
0x06E	Received HM02 Fly
0x07A	Received HM03 Surf
0x06A	Received HM04 Strength
0x06D	Received HM05 Flash
0x06B	Received HM06 Rock Smash
0x423	Received HM07 Waterfall
0x07B	Received HM08 Dive
0x05A	Received Mach Bike/Acro Bike

0x807	Received Stone Badge
0x808	Received Knuckle Badge
0x809	Received Dynamo Badge
0x80A	Received Heat Badge
0x80B	Received Balance Badge
0x80C	Received Feather Badge
0x80D	Received Mind Badge (Magma/Aqua Hideout entrance sealed)
0x80E	Received Rain Badge

0x099	Traded in Rustboro City
0x09A	Traded in Pacifidlog Town
0x09B	Traded in Fortree City

0x097	Received Castform
0x10A	Received Wynaut Egg
0x12A	Received Beldum

0x853	Received Eon Ticket

0x0FF	Lati@s Roaming

0x71	Captured/Defeated Groudon/Kyogre
0xCE	Captured/Defeated Lati@s (Southern Island)

0x339	Overworld Hidden (Groudon/Kyogre)
0x305	Overworld Hidden (Rayquaza)
0x3A7	Overworld Hidden (Regirock)
0x3A8	Overworld Hidden (Regice)
0x3A9	Overworld Hidden (Registeel)
0x3C3	Overworld Hidden (Root Fossil)
0x3C4	Overworld Hidden (Claw Fossil)
0x3C9	Uncovered Kecleon (Fortree City)
0x3CA	Uncovered Kecleon (Route 120, Bridge)
0x3D5	Uncovered Kecleon (Route 120, Bridge)
0x3D6	Uncovered Kecleon (Route 120, Stairs)
0x3D9	Uncovered Kecleon (Route 120, Behind Sign)
0x3DA	Uncovered Kecleon (Route 120, Behind Berry Trees)
0x3DB	Uncovered Kecleon (Route 120, Left of Long Grass Maze)
0x3DC	Uncovered Kecleon (Route 120, Behind Ancient Tomb)
0x3DD	Uncovered Kecleon (Route 119, Right of Ninja Boy)
0x3DE	Uncovered Kecleon (Route 119, Above Waterfall)

0x3CE	Overworld Hidden (Voltorb 1 in New Mauville)
0x3CF	Overworld Hidden (Voltorb 2 in New Mauville)
0x3D0	Overworld Hidden (Voltorb 3 in New Mauville)

0x3D1	Overworld Hidden (Electrode 1 in Hideout)
0x3D2	Overworld Hidden (Electrode 2 in Hideout)

0x800	Received Starter Pokemon
0x801	Received Pokedex
0x802	Received PokeNav
0x804	Entered Hall of Fame
0x805	Used Easy Chat
0x806	Met The Hipster
0x830	Watched TV at Home
0x834	Mixed Records
0x835	Set Clock
0x836	Received National Dex
0x83A	Shoal Cave Tide
0x83B	Received a Ribbon
0x84B	Unlocked Lanette's PC
0x84C	Mystery Event Enabled
0x84D	Used White Flute
0x84E	Used Black Flute
0x84F	Completed Sealed Chamber Puzzle (1)
0x0E4	Completed Sealed Chamber Puzzle (2)
0x850	Completed Regirock Puzzle
0x851	Completed Regice Puzzle
0x852	Completed Registeel Puzzle
0x85F	Can Receive Shell Bell
0x860	Received Running Shoes
0x862	Reset RTC Enabled
2090	Harsh Sunlight/Rain in Eastern Hoenn
2063	Can Fly to Littleroot Town
2064	Can Fly to Oldale Town
2065	Can Fly to Dewford Town
