v0277	road012_pm0143_kabigon (12번도로 잠만보)
v0225	road016_2_pm0143_kabigon (16번도로 잠만보)
v0500	r020d0105_2_pm0144_freezer (프리져)
v0441	r010r0101_pm0145_thunder (썬더)
v0513	r023d0102_pm0146_fire (파이어)
v0603	t004d0103_pm0150_mewtwo (뮤츠)

v1114	t011r0501_pm0106_sawamular (시라소몬)
v1113	t011r0501_pm0107_ebiwalar (홍수몬)

v0627	이상해씨 (블루시티)
v0157	파이리 (24번도로)
v0322	꼬부기 (갈색시티)
v0255	폴리곤 (노랑시티)

e0116	FE_MASTER_RED_BATTLE_TALKED (레드와 얘기했다)
e0000	FE_EV0905_BTL_RED (레드 쓰러뜨림)
e0107	FE_WAZA_OMOIDASHI
e0108	FE_FIELD_TRADE_FIRST_01 (알로라 꼬렛 첫 교환)
e0109	FE_FIELD_TRADE_FIRST_02 (알로라 모래두지/식스테일 첫 교환)
e0110	FE_FIELD_TRADE_FIRST_03 (알로라 디그다 첫 교환)
e0111	FE_FIELD_TRADE_FIRST_04 (알로라 질퍽이/나옹 첫 교환)
e0112	FE_FIELD_TRADE_FIRST_05 (알로라 라이츄 첫 교환)
e0113	FE_FIELD_TRADE_FIRST_06 (알로라 텅구리 첫 교환)
e0114	FE_FIELD_TRADE_FIRST_07 (알로라 나시 첫 교환)
e0191	FE_FIELD_TRADE_FIRST_08 (알로라 꼬마돌 첫 교환)
e0192	FE_CAPTURE_KABIGON_ROAD012 (12번도로 잠만보 잡음)
e0193	FE_CAPTURE_KABIGON_ROAD016 (16번도로 잠만보 잡음)

e0029	FE_SUB_23_BTLAFTER (태권도 대왕 쓰러뜨림)
e0030	FE_SUB_23_CLEAR (시라소몬/홍수몬 만남)

e0006	회색시티 비밀의호박 만남
e0004	잉어킹을 샀다 (4번도로)
e0046	블루시티 이상해씨 만남
e0047	24번도로 파이리 만남
e0048	갈색시티 꼬부기 만남
e0011	실프주식회사 라프라스 만남
e0081	노랑시티 폴리곤 만남
e0154	갈색시티 페르시온/윈디 만남

s0001	FSYS_HIDEN_OPEN_IAIGIRI (비술 개방됨: 사선베기)
s0002	FSYS_HIDEN_OPEN_SORAWOTOBU (비술 개방됨: 하늘날기)
s0003	FSYS_HIDEN_OPEN_KAIRIKI (비술 개방됨: 밀어내기)
s0004	FSYS_HIDEN_OPEN_NAMINORI (비술 개방됨: 물결타기)
s0005	FSYS_HIDEN_OPEN_HURASSYU (비술 개방됨: 반짝이기)

s0021	FSYS_JUDGE_OPEN (개체값을 평가할 수 있게 개방됨)
s0023	FSYS_FLAG_WILD_SPAWN (야생 출현 활성화됨)
s0024	FSYS_FLAG_BIG_WILD_SPAWN (작은/거대한 야생 출현 활성화됨)

s0000	FSYS_GAME_CLEAR (메인 스토리 완료함)
s0012	FSYS_GYM_CLEAR_ROCK (체육관 관장 웅 이김)
s0013	FSYS_GYM_CLEAR_WATAER (체육관 관장 이슬 이김)
