v0277	road012_pm0143_kabigon (12号道路卡比兽)
v0225	road016_2_pm0143_kabigon (16号道路卡比兽)
v0500	r020d0105_2_pm0144_freezer (急冻鸟)
v0441	r010r0101_pm0145_thunder (闪电鸟)
v0513	r023d0102_pm0146_fire (火焰鸟)
v0603	t004d0103_pm0150_mewtwo (超梦)

v1114	t011r0501_pm0106_sawamular (飞腿郎)
v1113	t011r0501_pm0107_ebiwalar (快拳郎)

e0116	FE_MASTER_RED_BATTLE_TALKED(与赤红对话)
e0000	FE_EV0905_BTL_RED (打败赤红)
e0107	FE_WAZA_OMOIDASHI(已解锁：招式回忆)
e0108	FE_FIELD_TRADE_FIRST_01 (第一次与阿罗拉小拉达交易)
e0109	FE_FIELD_TRADE_FIRST_02 (第一次与阿罗拉穿山鼠/六尾交易)
e0110	FE_FIELD_TRADE_FIRST_03 (第一次与阿罗拉地鼠交易)
e0111	FE_FIELD_TRADE_FIRST_04 (第一次与阿罗拉臭泥/喵喵交易)
e0112	FE_FIELD_TRADE_FIRST_05 (第一次与阿罗拉雷丘交易)
e0113	FE_FIELD_TRADE_FIRST_06 (第一次与阿罗拉雷丘交易)
e0114	FE_FIELD_TRADE_FIRST_07 (第一次与阿罗拉椰蛋树交易)
e0191	FE_FIELD_TRADE_FIRST_08 (第一次与阿罗拉小拳石交易)
e0192	FE_CAPTURE_KABIGON_ROAD012 (捕获12号道路卡比兽)
e0193	FE_CAPTURE_KABIGON_ROAD016 (捕获16号道路卡比兽)

e0029	FE_SUB_23_BTLAFTER (打败空手道大王)
e0030	FE_SUB_23_CLEAR (已领取 飞腿郎/快拳郎)

s0001	FSYS_HIDEN_OPEN_IAIGIRI (已解锁秘术：袈裟斩)
s0002	FSYS_HIDEN_OPEN_SORAWOTOBU (已解锁秘术：凌空渡)
s0003	FSYS_HIDEN_OPEN_KAIRIKI (已解锁秘术：推山掌)
s0004	FSYS_HIDEN_OPEN_NAMINORI (已解锁秘术：水上飘)
s0005	FSYS_HIDEN_OPEN_HURASSYU (已解锁秘术：炫光闪)

s0021	FSYS_JUDGE_OPEN (已解锁：个体能力评定)
s0023	FSYS_FLAG_WILD_SPAWN (启用野生宝可梦生成)
s0024	FSYS_FLAG_BIG_WILD_SPAWN (启用最小/最大野生宝可梦生成)

s0000	FSYS_GAME_CLEAR (完成主线剧情)
s0012	FSYS_GYM_CLEAR_ROCK (打败道馆馆主小刚)
s0013	FSYS_GYM_CLEAR_WATAER (打败道馆馆主小霞)
s0014	FSYS_GYM_CLEAR_VOLT (打败道馆馆主马志士)
s0015	FSYS_GYM_CLEAR_GRASS (打败道馆馆主莉佳)
s0016	FSYS_GYM_CLEAR_POISON (打败道馆馆主阿桔)
s0017	FSYS_GYM_CLEAR_ESPER (打败道馆馆主娜姿)
s0018	FSYS_GYM_CLEAR_FIRE (打败道馆馆主夏伯)
